x_t,y_t,x_t-1,y_t-1,a_x,a_y,direction
2.121378119468602108e+00,2.090875667543231398e+00,2.047193677661318656e+00,2.405095744773602107e+00,3.189382750597387073e-01,-2.072877494875494886e+00,0.000000000000000000e+00
2.085688042657992458e+00,1.780327070737870887e+00,2.021822871973628200e+00,2.087118785579201941e+00,1.793376361589393564e-01,-2.021320386885350651e+00,0.000000000000000000e+00
2.040692377628675391e+00,1.479055082490946083e+00,1.987018268430525314e+00,1.777035025833129778e+00,4.505066483275361328e-02,-1.960817770934063065e+00,0.000000000000000000e+00
1.986797827366210356e+00,1.188358314665523219e+00,1.943138948954303613e+00,1.476213989181231812e+00,-8.336726190683509119e-02,-1.891845527928236681e+00,0.000000000000000000e+00
1.924446812284866137e+00,9.094574730297845244e-01,1.890581526201396523e+00,1.185952343691220046e+00,-2.054007134161929260e-01,-1.814911766247065739e+00,0.000000000000000000e+00
1.854114581335240652e+00,6.434908978334997753e-01,1.829777444105078255e+00,9.074689679477530024e-01,-3.205759480453486132e-01,-1.730553678906376014e+00,0.000000000000000000e+00
1.776306218980030049e+00,3.915105986273371141e-01,1.761190160656700643e+00,6.419004983038845147e-01,-4.284624158426587615e-01,-1.639334320076194951e+00,0.000000000000000000e+00
1.691553564845363899e+00,1.544787930108891261e-01,1.685312229138599793e+00,3.902973696355588884e-01,-5.286740187151868220e-01,-1.541839318426442507e+00,0.000000000000000000e+00
1.600412062950588465e+00,-6.673504367841605334e-02,1.602662294199096227e+00,1.536203592705273624e-01,-6.208701266672226327e-01,-1.438673544738810595e+00,0.000000000000000000e+00
1.503457557429680902e+00,-2.713566133783053003e-01,1.513782019253102407e+00,-6.726235890664029882e-02,-7.047563499681942512e-01,-1.330457751100629471e+00,0.000000000000000000e+00
1.401283051584369055e+00,-4.587087132830008906e-01,1.419232961701911488e+00,-2.715776458227567858e-01,-7.800850683050714052e-01,-1.217825198792400698e+00,0.000000000000000000e+00
1.294495446954405438e+00,-6.282126376392481726e-01,1.319593412394430176e+00,-4.586493123264738236e-01,-8.466557191505481583e-01,-1.101418291695198448e+00,0.000000000000000000e+00
1.183712278856817735e+00,-7.793890667278485784e-01,1.215455215601347838e+00,-6.278995188860665433e-01,-9.043148487185340700e-01,-9.818852316827505478e-01,0.000000000000000000e+00
1.069558464535916853e+00,-9.118584488590620873e-01,1.107420585545879632e+00,-7.788496632403156816e-01,-9.529559299809555739e-01,-8.598767120264736441e-01,0.000000000000000000e+00
9.526630796825626968e-01,-1.025340883590301511e+00,9.960989352323993407e-01,-9.111207618221295323e-01,-9.925189532770138934e-01,-7.360426643363494614e-01,0.000000000000000000e+00
8.336561786279108599e-01,-1.119655516666704820e+00,8.821037329404846083e-01,-1.024433333151041570e+00,-1.022989796056022138e+00,-6.110290739872749066e-01,0.000000000000000000e+00
7.131656729972855047e-01,-1.194719459380139570e+00,7.660494013098748667e-01,-1.118606793679450595e+00,-1.044399379251702786e+00,-4.854748783465925310e-01,0.000000000000000000e+00
5.918142830277632882e-01,-1.250546247130894129e+00,6.485482734351578626e-01,-1.193558378769155714e+00,-1.056822618687571325e+00,-3.600089614254729509e-01,0.000000000000000000e+00
4.702165751126802240e-01,-1.287243853950700068e+00,5.302076198213742098e-01,-1.249301603560313945e+00,-1.060377180754497717e+00,-2.352472578311760598e-01,0.000000000000000000e+00
3.489760984418470713e-01,-1.305012281598321167e+00,4.116267594272495223e-01,-1.285944280466372103e+00,-1.055222052381530551e+00,-1.117899781029740441e-01,0.000000000000000000e+00
2.286826328623083604e-01,-1.304140743563031224e+00,2.933942673455638972e-01,-1.303686111878360920e+00,-1.041555936035808871e+00,9.781033323698453200e-03,0.000000000000000000e+00
1.099095592956276235e-01,-1.285004465900968507e+00,1.760852909446745662e-01,-1.302815878383428272e+00,-1.019615481135304202e+00,1.289047971569807494e-01,0.000000000000000000e+00
-6.788636781259244600e-03,-1.248061128279456033e+00,6.025898552593038360e-02,-1.283708244389782260e+00,-9.896733638366739250e-01,2.450435458345276152e-01,0.000000000000000000e+00
-1.208787191487751822e-01,-1.193846969910537625e+00,-5.354392025666294269e-02,-1.246820204498148232e+00,-9.520362276692231340e-01,3.576849091368133338e-01,0.000000000000000000e+00
-2.318509032026299099e-01,-1.122972586213606849e+00,-1.648034198109176729e-01,-1.192687195264042099e+00,-9.070424979227401652e-01,4.663439312711496476e-01,0.000000000000000000e+00
