x_t,y_t,x_t-1,y_t-1,a_x,a_y
2.721492362469166704e+00,1.270694539520627275e+00,2.696293608654041218e+00,1.373417551422977390e+00,-8.854199996850838916e-01,-2.829774689942754939e+00,0.000000000000000000e+00
2.680650692307672500e+00,1.174883134577325183e+00,2.656921918622577650e+00,1.275382542105634842e+00,-9.156220934551743129e-01,-2.773244606895426401e+00,0.000000000000000000e+00
2.639069099031053689e+00,1.081056122611776082e+00,2.616791996589933778e+00,1.179337796764028390e+00,-9.445812800281343513e-01,-2.716744011605387588e+00,0.000000000000000000e+00
2.596779004763190457e+00,9.892116917155194811e-01,2.575935046088505764e+00,1.085282277217813895e+00,-9.723106643022215723e-01,-2.660295005848176242e+00,0.000000000000000000e+00
2.553811490835897313e+00,8.993472699046998198e-01,2.534381941648556680e+00,9.932141671457841436e-01,-9.988235842321490088e-01,-2.603919230857501432e+00,0.000000000000000000e+00
2.510197292089557664e+00,8.114595412783839334e-01,2.492163222947270995e+00,9.031308883002397980e-01,-1.024133600835024804e+00,-2.547637867799733336e+00,0.000000000000000000e+00
2.465966791426310589e+00,7.255444621540545480e-01,2.449309089208710599e+00,8.150291167046567198e-01,-1.048254488305849108e+00,-2.491471638423622181e+00,0.000000000000000000e+00
2.421150014612951207e+00,6.415972771742601832e-01,2.405849393851923868e+00,7.289047988284785839e-01,-1.071200224244258647e+00,-2.435440805881626147e+00,0.000000000000000000e+00
2.375776625330670910e+00,5.596125353785242895e-01,2.361813639384415353e+00,6.447531677329915167e-01,-1.092984979993638195e+00,-2.379565175719031700e+00,0.000000000000000000e+00
2.329875920468707839e+00,4.795841062347533379e-01,2.317230972538156131e+00,5.625687591823760325e-01,-1.113623111094971696e+00,-2.323864097027152464e+00,0.000000000000000000e+00
2.283476825658941500e+00,4.015051956245098141e-01,2.272130179645249104e+00,4.823454277141571156e-01,-1.133129147856746899e+00,-2.268356463756865171e+00,0.000000000000000000e+00
2.236607891048434382e+00,3.253683617766515712e-01,2.226539682250344043e+00,4.040763626634089056e-01,-1.151517786042169922e+00,-2.213060716188782084e+00,0.000000000000000000e+00
2.189297287306877671e+00,2.511655311439641713e-01,2.180487532956850938e+00,3.277541041351986761e-01,-1.168803877675375524e+00,-2.157994842556373971e+00,0.000000000000000000e+00
2.141572801865880393e+00,1.788880142175488519e-01,2.134001411503963386e+00,2.533705589198853025e-01,-1.185002421967646713e+00,-2.103176380818212898e+00,0.000000000000000000e+00
2.093461835386982717e+00,1.085265212738489166e-01,2.087108621071487313e+00,1.809170163460218916e-01,-1.200128556365528842e+00,-2.048622420575933578e+00,0.000000000000000000e+00
2.044991398455271447e+00,4.007117804933670036e-02,2.039836084809403260e+00,1.103841640657327317e-01,-1.214197547721104442e+00,-1.994349605133912906e+00,0.000000000000000000e+00
1.996188108495438263e+00,-2.648845866199641547e-02,1.992210342589105343e+00,4.176210376757445719e-02,-1.227224783586182921e+00,-1.940374133697256642e+00,0.000000000000000000e+00
1.947078186907080344e+00,-9.116338549307176353e-02,1.944257547973201605e+00,-2.495963318798743308e-02,-1.239225763631416122e+00,-1.886711763704320255e+00,0.000000000000000000e+00
1.897687456416040641e+00,-1.539651370746839276e-01,1.896003465400738053e+00,-8.979207021522360443e-02,-1.250216091190976542e+00,-1.833377813290393510e+00,0.000000000000000000e+00
1.848041338638546138e+00,-2.149057706974515924e-01,1.847473467584697771e+00,-1.527467700365253145e-01,-1.260211464934028136e+00,-1.780387163878425438e+00,0.000000000000000000e+00
1.798164851854900048e+00,-2.739978510691204461e-01,1.798692533118588344e+00,-2.138358193070007407e-01,-1.269227670663251262e+00,-1.727754262893929749e+00,0.000000000000000000e+00
1.748082608989431019e+00,-3.312544351714321600e-01,1.749685244288931685e+00,-2.730718133346557441e-01,-1.277280573242224104e+00,-1.675493126599876481e+00,0.000000000000000000e+00
1.697818815793425307e+00,-3.866890572206641008e-01,1.700475785090417968e+00,-3.304678409003826700e-01,-1.284386108651132785e+00,-1.623617343048465500e+00,0.000000000000000000e+00
1.647397269227719896e+00,-4.403157137358126860e-01,1.651087939440502250e+00,-3.860374691818733717e-01,-1.290560276172413534e+00,-1.572140075145998184e+00,0.000000000000000000e+00
1.596841356041642790e+00,-4.921488487182783533e-01,1.601545089590185267e+00,-4.397947287854369613e-01,-1.295819130706061584e+00,-1.521074063827604350e+00,0.000000000000000000e+00
1.546174051544950911e+00,-5.422033389467789677e-01,1.551870214727717689e+00,-4.917540988895911513e-01,-1.300178775216081162e+00,-1.470431631338094070e+00,0.000000000000000000e+00
1.495417918569431626e+00,-5.904944793911086620e-01,1.502085889771941352e+00,-5.419304925041630305e-01,-1.303655353307480391e+00,-1.420224684615766897e+00,0.000000000000000000e+00
1.444595106616804570e+00,-6.370379687482344844e-01,1.452214284351983409e+00,-5.903392418485241544e-01,-1.306265041934690174e+00,-1.370464718775685986e+00,0.000000000000000000e+00
