episode,time_step,action,x,y,heading
0,0,0,2,14,0
0,1,2,3,14,0
0,2,2,4,14,0
0,3,2,5,14,0
0,4,2,6,14,0
0,5,2,7,14,0
0,6,2,8,14,0
0,7,2,9,14,0
0,8,2,10,14,0
0,9,2,11,14,0
0,10,0,11,14,3
0,11,3,11,14,3
0,12,2,11,13,3
0,13,2,11,12,3
0,14,2,11,11,3
0,15,2,11,10,3
0,16,2,11,9,3
0,17,2,11,8,3
0,18,2,11,7,3
0,19,2,11,6,3
0,20,2,11,5,3
0,21,2,11,4,3
0,22,2,11,3,3
0,23,2,11,2,3
0,24,1,11,2,0
0,25,2,12,2,0
0,26,5,12,2,0
0,27,2,13,2,0
0,28,2,14,2,0
0,29,1,14,2,1
0,30,2,14,3,1
0,31,2,14,4,1
0,32,2,14,5,1
0,33,2,14,6,1
0,34,2,14,7,1
0,35,2,14,8,1
0,36,2,14,9,1
0,37,2,14,10,1
0,38,2,14,11,1
0,39,2,14,12,1
0,40,2,14,13,1
0,41,2,14,14,1
1,0,0,4,8,2
1,1,1,4,8,3
1,2,2,4,7,3
1,3,2,4,6,3
1,4,2,4,5,3
1,5,1,4,5,0
1,6,3,4,5,0
1,7,2,5,5,0
1,8,2,6,5,0
1,9,2,7,5,0
1,10,1,7,5,1
1,11,2,7,6,1
1,12,2,7,7,1
1,13,0,7,7,0
1,14,5,7,7,0
1,15,2,8,7,0
1,16,2,9,7,0
1,17,2,10,7,0
1,18,2,11,7,0
1,19,2,12,7,0
1,20,2,13,7,0
1,21,2,14,7,0
1,22,1,14,7,1
1,23,2,14,8,1
1,24,2,14,9,1
1,25,2,14,10,1
1,26,2,14,11,1
1,27,2,14,12,1
1,28,2,14,13,1
1,29,2,14,14,1
2,0,0,2,1,0
2,1,2,3,1,0
2,2,2,4,1,0
2,3,2,5,1,0
2,4,2,6,1,0
2,5,2,7,1,0
2,6,2,8,1,0
2,7,2,9,1,0
2,8,1,9,1,1
2,9,2,9,2,1
2,10,3,9,2,1
2,11,2,9,3,1
2,12,2,9,4,1
2,13,2,9,5,1
2,14,2,9,6,1
2,15,2,9,7,1
