x_t,y_t,prev_x,prev_y,a_x,a_y,option
0.972,0.9601,0.972,0.9601,1.45362857565756E-92,-2.36357192142601E-09,2
0.972,0.9601,0.972,0.9601,-7.35518240143216E-93,3.13064547758123E-05,2
0.972,0.9601,0.972,0.9601,-3.44950504773132E-92,7.00288417867751E-05,2
0.972,0.9601,0.972,0.9601,-5.93522435913924E-92,0.000116354943981,2
0.972,0.9601,0.972,0.9601,-7.25043649505325E-92,0.000158628963956,2
0.972,0.9601,0.972,0.9601,-6.52276895402217E-92,0.000173183143732,2
0.972,0.9601,0.972,0.9601,-3.2767508366482E-92,0.000129175581791,2
0.972,0.9601,0.972,0.9601,2.26016033065445E-92,-2.62722028696398E-06,2
0.972,0.9601,0.972,0.9601,8.98603549292327E-92,-0.000239661422555,2
0.972,0.9601,0.972,0.9601,1.49947220442503E-91,-0.000579385647068,2
0.972,0.9601,0.972,0.9601,1.79496578794316E-91,-0.000996349708851,2
0.972,0.9577,0.972,0.9601,1.573988300183E-91,-0.001446269060358,2
0.972,0.9552,0.972,0.9577,7.29152898641576E-92,-0.001876316104,2
0.972,0.9527,0.972,0.9552,-6.69091152812914E-92,-0.002238254068445,2
0.972,0.9502,0.972,0.9527,-2.33352867533584E-91,-0.002499842662924,2
0.972,0.9477,0.972,0.9502,-3.78246388027877E-91,-0.00265086866574,2
0.972,0.9452,0.972,0.9477,-4.43730184264904E-91,-0.002702547278759,2
0.972,0.9427,0.972,0.9452,-3.78844224523614E-91,-0.002681493770161,2
0.972,0.9402,0.972,0.9427,-1.59635388274116E-91,-0.002620938100147,2
0.972,0.9376,0.972,0.9402,1.92928543715515E-91,-0.002552096865769,2
0.972,0.9351,0.972,0.9376,6.04224149012012E-91,-0.002497912693413,2
0.972,0.9325,0.972,0.9351,9.52711112289242E-91,-0.002470207019605,2
0.972,0.93,0.972,0.9325,1.09532081722097E-90,-0.002470139161403,2
0.972,0.9274,0.972,0.93,9.09342760558458E-91,-0.002491044738396,2
0.972,0.9249,0.972,0.9274,3.4217623691224E-91,-0.002522365478078,2
0.972,0.9223,0.972,0.9249,-5.45483659878889E-91,-0.002553444063875,2
0.972,0.9198,0.972,0.9223,-1.56032170484528E-90,-0.002576309055027,2
0.972,0.9172,0.972,0.9198,-2.39613057510961E-90,-0.002587046876655,2
0.972,0.9146,0.972,0.9172,-2.69966549872093E-90,-0.00258579775292,2
0.972,0.9121,0.972,0.9146,-2.17624269259485E-90,-0.002575724427998,2
0.972,0.9095,0.972,0.9121,-7.12660134528726E-91,-0.002561457612805,2
0.972,0.907,0.972,0.9095,1.5189651875223E-90,-0.002547531920188,2
0.972,0.9044,0.972,0.907,4.01920442061092E-90,-0.002537215539046,2
0.972,0.9019,0.972,0.9044,6.01773681739726E-90,-0.002531947192773,2
0.972,0.8993,0.972,0.9019,6.64368750546438E-90,-0.002531387637873,2
0.972,0.8968,0.972,0.8993,5.19145323349965E-90,-0.002533931306736,2
0.972,0.8942,0.972,0.8968,1.4239500353298E-90,-0.002537439888327,2
0.972,0.8917,0.972,0.8942,-4.17842296557673E-90,-0.002539955660015,2
0.972,0.8891,0.972,0.8917,-1.03286657264115E-89,-0.002540210209712,2
0.972,0.8866,0.972,0.8891,-1.50916960416017E-89,-0.002537837039384,2
0.972,0.8841,0.972,0.8866,-1.63237882415019E-89,-0.002533295841393,2
0.972,0.8815,0.972,0.8841,-1.23407689918303E-89,-0.002527593351421,2
0.972,0.879,0.972,0.8815,-2.66499932930807E-90,-0.002521918574433,2
0.972,0.8765,0.972,0.879,1.13795234117394E-89,-0.002517300205326,2
0.972,0.874,0.972,0.8765,2.64841494388912E-89,-0.002514364052433,2
0.972,0.8714,0.972,0.874,3.77947861263947E-89,-0.002513231604695,2
0.972,0.8689,0.972,0.8714,4.00427948155649E-89,-0.002513555700057,2
0.972,0.8664,0.972,0.8689,2.92222009353757E-89,-0.002514650701121,2
0.972,0.8639,0.972,0.8664,4.4268532619508E-90,-0.002515670257067,2
0.972,0.8614,0.972,0.8639,-3.07318225280173E-89,-0.002515807527487,2
0.972,0.8588,0.972,0.8614,-6.77668844179692E-89,-0.00251449810288,2
0.972,0.8563,0.972,0.8588,-9.45191421098689E-89,-0.002511580101895,2
0.972,0.8538,0.972,0.8563,-9.80608434988555E-89,-0.002507347818492,2
0.972,0.8513,0.972,0.8538,-6.88996117359852E-89,-0.002502464842444,2
0.972,0.8488,0.972,0.8513,-5.489605718234E-90,-0.002497765971344,2
0.972,0.8463,0.972,0.8488,8.24031666387781E-89,-0.002494023642097,2
0.972,0.8438,0.972,0.8463,1.73055042701277E-88,-0.002491755319036,2
0.972,0.8413,0.972,0.8438,2.36050550694283E-88,-0.002491117129816,2
0.972,0.8388,0.972,0.8413,2.39721760002328E-88,-0.00249189351052,2
0.972,0.8363,0.972,0.8388,1.6167071186651E-88,-0.002493567940993,2
0.972,0.8338,0.972,0.8363,-1.71663440360575E-91,-0.002495448270547,2
0.972,0.8313,0.972,0.8338,-2.19589439423385E-88,-0.002496818089975,2
0.972,0.8288,0.972,0.8313,-4.41089024571587E-88,-0.002497087928249,2
0.972,0.8263,0.972,0.8288,-5.88693551472117E-88,-0.002495922537371,2
0.972,0.8238,0.972,0.8263,-5.84963653457055E-88,-0.002493321724198,2
0.972,0.8213,0.972,0.8238,-3.77298416326069E-88,-0.002489633859301,2
0.972,0.8188,0.972,0.8213,3.5000453899993E-89,-0.002485487359972,2
0.972,0.8163,0.972,0.8188,5.82003353877911E-88,-0.002481640318454,2
0.972,0.8138,0.972,0.8163,1.12222167557618E-87,-0.002478773951604,2
0.972,0.8114,0.972,0.8138,1.46613017584032E-87,-0.00247728761325,2
0.972,0.8089,0.972,0.8114,1.42470395765283E-87,-0.002477175284744,2
0.972,0.8064,0.972,0.8089,8.7506700744546E-88,-0.002478048485504,2
0.972,0.8039,0.972,0.8064,-1.73391912112535E-88,-0.002479306777784,2
0.972,0.8014,0.972,0.8039,-1.53516937344639E-87,-0.002480377356365,2
0.972,0.7989,0.972,0.8014,-2.85018048316319E-87,-0.002480907479136,2
0.972,0.7964,0.972,0.7989,-3.64630583187526E-87,-0.002480825587934,2
0.972,0.794,0.972,0.7964,-3.46301658276062E-87,-0.002480265910578,2
0.972,0.7915,0.972,0.794,-2.01501009189291E-87,-0.002479427492094,2
0.972,0.789,0.972,0.7915,6.46572066990349E-88,-0.002478464452567,2
0.972,0.7865,0.972,0.789,4.03204383316172E-87,-0.002477462382491,2
0.972,0.784,0.972,0.7865,7.22660827907192E-87,-0.002476480910085,2
0.972,0.7815,0.972,0.784,9.0558158814494E-87,-0.002475597767097,2
0.972,0.7791,0.972,0.7815,8.39987818303898E-87,-0.002474907247991,3
0.972,0.7766,0.972,0.7791,4.60098164586727E-87,-0.00247447989201,3
0.972,0.7741,0.972,0.7766,-2.14435589649521E-87,-0.002474326007113,3
0.972,0.7716,0.972,0.7741,-1.05491087175369E-86,-0.002474392285159,3
0.972,0.7691,0.972,0.7716,-1.82931666862616E-86,-0.002474581162692,3
0.972,0.7667,0.972,0.7691,-2.24590256806389E-86,-0.002474766970782,3
0.972,0.7642,0.972,0.7667,-2.03295472721508E-86,-0.002474806379706,3
0.972,0.7617,0.972,0.7642,-1.04004160409889E-86,-0.002474564591953,3
0.972,0.7592,0.972,0.7617,6.66692101996818E-87,-0.002473964815777,3
0.972,0.7567,0.972,0.7592,2.75030869055861E-86,-0.00247303241343,3
0.972,0.7543,0.972,0.7567,4.62334460054916E-86,-0.002471895809831,3
0.972,0.7518,0.972,0.7543,5.56206675801179E-86,-0.002470739382341,3
0.972,0.7493,0.972,0.7518,4.90861566376773E-86,-0.00246974037286,3
0.972,0.7468,0.972,0.7493,2.3223192527014E-86,-0.002469022522123,3
0.972,0.7444,0.972,0.7468,-1.98935657553176E-86,-0.002468634525712,3
