x_t,y_t,prev_x,prev_y,a_x,a_y,option
-0.8598,-0.8724,-0.8598,-0.8734,8.62187326557401E-10,0.000997700146559,2
-0.8598,-0.8714,-0.8598,-0.8724,6.03205412795634E-07,0.000934908761024,2
-0.8598,-0.8705,-0.8598,-0.8714,-2.57450397379048E-07,0.000869839819475,2
-0.8598,-0.8697,-0.8598,-0.8705,-3.82082222461198E-06,0.000800884670219,2
-0.8598,-0.869,-0.8598,-0.8697,-1.09425318855837E-05,0.000727548106887,2
-0.8598,-0.8683,-0.8598,-0.869,-2.20392691760071E-05,0.000650551070189,2
-0.8599,-0.8678,-0.8598,-0.8683,-3.7151552291094E-05,0.000571614990606,2
-0.8599,-0.8673,-0.8599,-0.8678,-5.60929897584047E-05,0.000493051273366,2
-0.86,-0.8669,-0.8599,-0.8673,-7.86224694027278E-05,0.000417309661604,2
-0.8601,-0.8665,-0.86,-0.8669,-0.000104568973435,0.000346604215612,2
-0.8603,-0.8662,-0.8601,-0.8665,-0.000133855550999,0.000282662233432,2
-0.8604,-0.866,-0.8603,-0.8662,-0.000166400845969,0.000226577869663,2
-0.8606,-0.8658,-0.8604,-0.866,-0.000201923040157,0.00017873841516,2
-0.8609,-0.8657,-0.8606,-0.8658,-0.000239722289824,0.000138820184661,2
-0.8611,-0.8656,-0.8609,-0.8657,-0.00027854440772,0.000105878407019,2
-0.8614,-0.8655,-0.8611,-0.8656,-0.000316611783523,7.85466373816093E-05,2
-0.8618,-0.8654,-0.8614,-0.8655,-0.000351854353426,5.531869663839E-05,2
-0.8622,-0.8654,-0.8618,-0.8654,-0.000382298231088,3.48434829120559E-05,2
-0.8626,-0.8654,-0.8622,-0.8654,-0.000406496722546,1.61567911516429E-05,2
-0.863,-0.8654,-0.8626,-0.8654,-0.000423860023971,-1.19133156013012E-06,2
-0.8635,-0.8654,-0.863,-0.8654,-0.000434777460118,-1.71153233385483E-05,2
-0.8639,-0.8654,-0.8635,-0.8654,-0.000440502267325,-3.10666135215874E-05,2
-0.8643,-0.8655,-0.8639,-0.8654,-0.000442843431869,-4.21893681954161E-05,2
-0.8648,-0.8655,-0.8643,-0.8655,-0.000443761229777,-4.95384503026537E-05,2
-0.8652,-0.8656,-0.8648,-0.8655,-0.000444979402998,-5.23148299121201E-05,2
-0.8657,-0.8656,-0.8652,-0.8656,-0.000447701198593,-5.00609281683213E-05,2
